date,region_key,PM10_avg,PM25_avg,ws_avg,ta_avg,hm_avg,pa_avg,rn_day,month,season,dayofweek,PM25_lag1,PM25_lag7
2023-06-15,경기,33.666782126775196,20.713183730715286,1.8,21.1,75.0,1004.2,1.1,6,2,3,19.557531380753137,12.476472638550018
2023-06-16,경기,29.529493407356004,17.74868374868375,1.8,22.1,69.4,1008.8,11.394455994455992,6,2,4,20.713183730715286,14.617157036511875
2023-06-17,경기,24.231522105973674,13.8043254376931,1.7,22.6,63.5,1008.5,11.394455994455992,6,2,5,17.74868374868375,20.307404891304348
2023-06-18,경기,29.18621155795877,17.0881239242685,1.7,23.7,68.1,1003.2,11.394455994455992,6,2,6,13.8043254376931,14.531399317406143
2023-06-19,경기,46.49274861878453,26.851608439986165,1.8,26.3,61.5,1001.5,11.394455994455992,6,2,0,17.0881239242685,19.32170818505338
2023-06-20,경기,35.57814131569788,18.557325943886386,2.0,23.4,62.8,1000.0,18.5,6,2,1,26.851608439986165,16.464121597737716
2023-06-21,경기,12.733772995487678,6.406555090655509,2.3,20.2,92.8,997.1,17.0,6,2,2,18.557325943886386,19.557531380753137
2023-06-22,경기,22.820848056537102,11.17536386226482,2.3,21.9,80.1,999.7,0.2,6,2,3,6.406555090655509,20.713183730715286
2023-06-23,경기,38.80314136125654,23.886181691611554,1.4,23.7,78.3,1004.9,11.394455994455992,6,2,4,11.17536386226482,17.74868374868375
2023-06-24,경기,38.34949494949495,23.977966101694914,1.7,24.9,73.9,1009.3,11.394455994455992,6,2,5,23.886181691611554,13.8043254376931
2023-06-25,경기,31.43658619517171,19.81548431105048,2.0,26.9,63.0,1007.1,11.394455994455992,6,2,6,23.977966101694914,17.0881239242685
2023-06-26,경기,16.630989856593214,8.78598949211909,3.0,24.0,86.0,1001.9,31.3,6,2,0,19.81548431105048,26.851608439986165
2023-06-27,경기,20.681927710843375,10.638312586445366,2.6,25.0,75.4,1004.1,0.8,6,2,1,8.78598949211909,18.557325943886386
2023-06-28,경기,29.71158473702303,17.530682207747684,2.2,25.4,78.3,1003.2,0.0,6,2,2,10.638312586445366,6.406555090655509
2023-06-29,경기,32.409944367176635,19.048924358084662,2.4,23.9,94.4,996.9,58.6,6,2,3,17.530682207747684,11.17536386226482
2023-06-30,경기,29.626304801670145,17.8879887284255,1.4,25.1,86.6,996.0,1.2,6,2,4,19.048924358084662,23.886181691611554
2023-07-01,경기,30.243141289437585,17.676399862590173,1.7,26.1,81.1,1001.4,11.394455994455992,7,2,5,17.8879887284255,23.977966101694914
2023-07-02,경기,22.546858908341914,13.89145416953825,1.5,25.3,82.9,1004.2,11.394455994455992,7,2,6,17.676399862590173,19.81548431105048
2023-07-03,경기,34.15409026798307,20.19971721456345,1.6,27.7,74.8,1000.9,11.394455994455992,7,2,0,13.89145416953825,8.78598949211909
2023-07-04,경기,30.28370786516854,19.427068723702664,2.7,25.0,88.9,995.3,22.5,7,2,1,20.19971721456345,10.638312586445366
2023-07-05,경기,27.156436338126973,14.40398740818468,3.4,23.6,83.8,991.5,22.0,7,2,2,19.427068723702664,17.530682207747684
2023-07-06,경기,48.86936779601816,24.89073881373569,2.5,26.3,72.1,997.4,11.394455994455992,7,2,3,14.40398740818468,19.048924358084662
2023-07-07,경기,40.764726631393295,18.944249649368864,2.9,25.0,71.6,997.8,0.0,7,2,4,24.89073881373569,17.8879887284255
2023-07-08,경기,13.945349626612355,7.069687607277721,2.1,24.5,84.5,998.0,1.3,7,2,5,18.944249649368864,17.676399862590173
2023-07-09,경기,19.71814802298074,10.34819897084048,2.0,25.0,86.3,998.3,31.2,7,2,6,7.069687607277721,13.89145416953825
2023-07-10,경기,32.79720767888307,17.346113628441966,2.0,26.3,80.8,999.5,21.2,7,2,0,10.34819897084048,20.19971721456345
2023-07-11,경기,21.283741801863997,10.427475592747559,1.5,23.7,89.8,1001.3,49.6,7,2,1,17.346113628441966,19.427068723702664
2023-07-12,경기,25.312255772646537,14.10430758276967,1.4,25.9,85.9,1001.0,0.2,7,2,2,10.427475592747559,14.40398740818468
2023-07-13,경기,23.72482269503546,12.883712660028449,2.0,24.8,94.6,999.4,64.5,7,2,3,14.10430758276967,24.89073881373569
2023-07-14,경기,13.703912583715192,7.716666666666667,3.3,24.4,96.8,993.9,80.8,7,2,4,12.883712660028449,18.944249649368864
2023-07-15,경기,20.475671997277985,11.021996615905245,2.3,24.1,92.9,996.7,9.6,7,2,5,7.716666666666667,7.069687607277721
2023-07-16,경기,30.24282786885246,14.191929467616141,1.7,24.3,88.0,1003.1,0.2,7,2,6,11.021996615905245,10.34819897084048
2023-07-17,경기,26.02149791955617,12.32962447844228,1.2,24.8,89.8,1007.5,7.8,7,2,0,14.191929467616141,17.346113628441966
2023-07-18,경기,13.259541984732824,5.6202575704838145,1.4,24.0,92.5,1006.4,60.7,7,2,1,12.32962447844228,10.427475592747559
2023-07-19,경기,31.190426638917796,15.925191370911621,1.4,25.7,80.9,1003.2,11.394455994455992,7,2,2,5.6202575704838145,14.10430758276967
2023-07-20,경기,54.61594963273872,34.44726766446223,1.4,26.1,78.3,1004.8,11.394455994455992,7,2,3,15.925191370911621,12.883712660028449
2023-07-21,경기,57.26308539944903,39.08364888123924,1.2,28.1,70.4,1007.2,11.394455994455992,7,2,4,34.44726766446223,7.716666666666667
2023-07-22,경기,28.775991792065664,18.39419795221843,3.4,26.1,79.0,1007.2,11.5,7,2,5,39.08364888123924,11.021996615905245
2023-07-23,경기,10.258301293254107,4.780674313521029,2.3,24.5,94.4,1003.7,86.3,7,2,6,18.39419795221843,14.191929467616141
2023-07-24,경기,19.971308607417775,10.468499825965889,1.5,26.1,85.8,1004.5,0.1,7,2,0,4.780674313521029,12.32962447844228
2023-07-25,경기,19.953391304347825,9.515972222222222,2.0,26.8,83.6,1008.2,1.4,7,2,1,10.468499825965889,5.6202575704838145
2023-07-26,경기,13.876543209876543,5.494570928196147,2.1,27.0,82.6,1010.2,19.6,7,2,2,9.515972222222222,15.925191370911621
2023-07-27,경기,21.441258741258743,10.517217391304348,1.5,27.7,79.6,1009.9,0.0,7,2,3,5.494570928196147,34.44726766446223
2023-07-28,경기,31.18402777777778,19.43409247757074,1.8,28.8,74.3,1009.7,11.394455994455992,7,2,4,10.517217391304348,39.08364888123924
2023-07-29,경기,29.888696854476322,19.550531003768413,1.6,29.1,71.3,1010.0,11.394455994455992,7,2,5,19.43409247757074,18.39419795221843
2023-07-30,경기,17.949295774647887,10.53567662565905,1.6,28.1,75.6,1008.7,0.0,7,2,6,19.550531003768413,4.780674313521029
2023-07-31,경기,31.15049928673324,19.770914225202965,1.5,27.9,78.4,1008.4,11.394455994455992,7,2,0,10.53567662565905,10.468499825965889
2023-08-01,경기,32.043386243386244,20.236944937833037,1.5,29.2,73.3,1006.1,11.394455994455992,8,2,1,19.770914225202965,9.515972222222222
2023-08-02,경기,33.29418026969482,21.101392359871475,1.6,28.3,74.6,1003.5,11.394455994455992,8,2,2,20.236944937833037,5.494570928196147
2023-08-03,경기,23.718329794762916,13.998936924167257,1.6,28.3,70.4,1001.9,11.394455994455992,8,2,3,21.101392359871475,10.517217391304348
2023-08-04,경기,23.35931492485145,12.962078651685394,1.5,29.2,70.3,1000.0,11.394455994455992,8,2,4,13.998936924167257,19.43409247757074
2023-08-05,경기,21.528327645051196,11.920110192837466,1.6,29.1,72.3,996.5,11.394455994455992,8,2,5,12.962078651685394,19.550531003768413
2023-08-06,경기,22.164888123924268,13.187870338096898,1.5,28.5,78.8,994.0,0.4,8,2,6,11.920110192837466,10.53567662565905
2023-08-07,경기,14.519485038274182,6.7966819625838335,2.2,30.2,70.1,995.0,0.0,8,2,0,13.187870338096898,19.770914225202965
2023-08-08,경기,9.964509394572024,3.768741159830269,2.8,30.9,61.0,997.7,11.394455994455992,8,2,1,6.7966819625838335,20.236944937833037
2023-08-09,경기,9.954961294862773,3.6371459304410183,2.6,28.6,67.1,999.0,0.6,8,2,2,3.768741159830269,21.101392359871475
2023-08-10,경기,5.075187969924812,1.8129963898916968,2.9,21.9,93.3,991.8,91.6,8,2,3,3.6371459304410183,13.998936924167257
2023-08-11,경기,19.58943234559086,9.789928057553956,2.8,24.3,89.3,995.1,30.3,8,2,4,1.8129963898916968,12.962078651685394
2023-08-12,경기,20.27715877437326,10.528859527121002,2.3,23.7,85.6,999.6,0.6,8,2,5,9.789928057553956,11.920110192837466
2023-08-13,경기,31.442468619246863,17.565323141070188,1.4,27.1,75.8,1000.3,11.394455994455992,8,2,6,10.528859527121002,13.187870338096898
2023-08-14,경기,39.84924798880728,23.89888811674774,1.4,27.6,77.9,1001.3,11.394455994455992,8,2,0,17.565323141070188,6.7966819625838335
2023-08-15,경기,28.733701276302174,16.316242257398486,1.8,27.6,76.0,1000.3,11.394455994455992,8,2,1,23.89888811674774,3.768741159830269
2023-08-16,경기,20.392716886826133,10.496605930689531,1.9,27.0,75.8,999.7,11.394455994455992,8,2,2,16.316242257398486,3.6371459304410183
2023-08-17,경기,25.79563350035791,15.260977337110482,1.5,27.1,74.9,1000.5,11.394455994455992,8,2,3,10.496605930689531,1.8129963898916968
2023-08-18,경기,34.026445698166434,21.387469373468672,1.6,28.0,73.3,1002.3,11.394455994455992,8,2,4,15.260977337110482,9.789928057553956
2023-08-19,경기,25.745511049723756,15.206012982576016,1.6,27.7,71.9,1005.5,11.394455994455992,8,2,5,21.387469373468672,10.528859527121002
2023-08-20,경기,28.073103448275862,16.979402677651905,1.3,27.5,74.9,1006.8,0.0,8,2,6,15.206012982576016,17.565323141070188
2023-08-21,경기,26.952949438202246,15.272191400832178,2.1,28.9,72.1,1003.2,0.0,8,2,0,16.979402677651905,23.89888811674774
2023-08-22,경기,21.768988449422473,12.648071625344352,3.0,28.0,76.3,999.7,0.3,8,2,1,15.272191400832178,16.316242257398486
2023-08-23,경기,11.650560224089636,5.687263989014761,2.1,24.7,91.5,1001.1,23.8,8,2,2,12.648071625344352,10.496605930689531
2023-08-24,경기,10.134796238244514,4.210727969348659,2.1,25.8,84.6,1001.6,2.7,8,2,3,5.687263989014761,15.260977337110482
2023-08-25,경기,21.52043971143937,9.86873508353222,2.4,25.8,81.1,1003.5,11.394455994455992,8,2,4,4.210727969348659,21.387469373468672
2023-08-26,경기,37.64036885245902,21.08931580721267,1.4,25.1,79.1,1005.3,11.394455994455992,8,2,5,9.86873508353222,15.206012982576016
2023-08-27,경기,30.14178339596857,17.578414839797638,1.2,25.8,77.3,1004.1,0.4,8,2,6,21.08931580721267,16.979402677651905
2023-08-28,경기,16.436595451412817,8.103389250256761,2.5,23.8,82.6,1002.6,25.2,8,2,0,17.578414839797638,15.272191400832178
2023-08-29,경기,14.431983385254414,6.8913571676501215,2.2,23.7,90.1,1001.4,20.1,8,2,1,8.103389250256761,12.648071625344352
2023-08-30,경기,20.8631217838765,9.362577107607951,1.0,21.8,90.8,1005.2,4.7,8,2,2,6.8913571676501215,5.687263989014761
2023-08-31,경기,26.359423274974255,13.20422055820286,1.2,22.7,82.4,1006.5,0.0,8,2,3,9.362577107607951,4.210727969348659
2023-09-01,경기,29.119444444444444,14.168543159331286,1.4,23.7,72.8,1007.7,11.394455994455992,9,3,4,13.20422055820286,9.86873508353222
2023-09-02,경기,31.4979633401222,17.390969899665553,1.0,24.8,69.0,1007.3,11.394455994455992,9,3,5,14.168543159331286,21.08931580721267
2023-09-03,경기,19.077053632043448,10.786051212938006,1.5,25.7,82.6,1007.8,5.8,9,3,6,17.390969899665553,17.578414839797638
2023-09-04,경기,20.732770745428972,9.332165381920111,1.3,26.8,81.5,1007.7,4.0,9,3,0,10.786051212938006,8.103389250256761
2023-09-05,경기,20.89353478566409,9.176387416048074,1.6,27.1,71.3,1007.1,11.394455994455992,9,3,1,9.332165381920111,6.8913571676501215
2023-09-06,경기,22.66384479717813,10.806097128677774,1.5,27.0,67.1,1007.5,11.394455994455992,9,3,2,9.176387416048074,9.362577107607951
2023-09-07,경기,19.963388370423548,9.156540385989993,1.9,25.8,53.6,1010.2,11.394455994455992,9,3,3,10.806097128677774,13.20422055820286
2023-09-08,경기,20.75105337078652,9.452947259565667,1.4,24.1,63.8,1008.8,11.394455994455992,9,3,4,9.156540385989993,14.168543159331286
2023-09-09,경기,34.03638253638254,18.21703853955375,1.4,24.7,71.6,1006.6,11.394455994455992,9,3,5,9.452947259565667,17.390969899665553
